,상호,주소,가격,셀프,상표,구
179,신정동주유소,서울 양천구 안양천로 663 (신정동),1737.0,Y,HD현대오일뱅크,양천구
180,(주)서부트럭터미날,서울 양천구 신정로 167 (신정동),1739.0,N,HD현대오일뱅크,양천구
181,SK에너지(주) 신평,서울 양천구 목동남로 62,1739.0,N,SK에너지,양천구
182,지에스칼텍스㈜ 건지주유소,서울 양천구 안양천로 1171 (목동),1762.0,Y,GS칼텍스,양천구
183,SK에너지(주) 경인주유소,서울 양천구 국회대로 170 (신정동),1767.0,Y,SK에너지,양천구
184,현대오일뱅크(주)직영 신목동셀프주유소,서울 양천구 목동동로10길 13,1789.0,Y,HD현대오일뱅크,양천구
185,신양주유소,서울 양천구 지양로 67,1864.0,N,SK에너지,양천구
186,도림주유소,서울 영등포구 도림로 343 (도림동),1658.0,Y,알뜰주유소,영등포구
187,(주)대청에너지 대청주유소,서울 영등포구 가마산로 328 (대림동),1676.0,Y,GS칼텍스,영등포구
188,성락주유소,서울 영등포구 가마산로 414 (신길동),1676.0,Y,S-OIL,영등포구
189,영등포현대셀프주유소,서울 영등포구 경인로 822 (영등포동),1676.0,Y,HD현대오일뱅크,영등포구
190,영등포제일셀프주유소,서울 영등포구 가마산로 379,1676.0,Y,HD현대오일뱅크,영등포구
191,(주)MS오일,서울 영등포구 대림로 230,1676.0,N,HD현대오일뱅크,영등포구
192,행촌주유소,서울 영등포구 도신로 130 (신길동),1676.0,Y,SK에너지,영등포구
193,(주)강서오일,서울 영등포구 도신로 151,1676.0,Y,HD현대오일뱅크,영등포구
194,HD현대오일뱅크㈜직영 대일셀프주유소,서울 영등포구 영등포로 168,1684.0,Y,HD현대오일뱅크,영등포구
195,㈜지에스이앤알 모드니주유소,서울 영등포구 경인로 789,1689.0,N,GS칼텍스,영등포구
196,(주)지에스이앤알 보라주유소,서울 영등포구 영등포로 399 (신길동),1689.0,N,GS칼텍스,영등포구
197,한경석유(주)경덕주유소,서울 영등포구 여의대방로23길 2 (신길동),1695.0,Y,SK에너지,영등포구
198,남서울고속주유소,서울 영등포구 가마산로 367 (대림동),1695.0,Y,SK에너지,영등포구
199,씨앤에스유통(주) 한일주유소,서울 영등포구 도림로 486 (문래동3가),1697.0,Y,S-OIL,영등포구
200,지에스칼텍스㈜ 신길주유소,서울 영등포구 신길로 74 (신길동),1729.0,Y,GS칼텍스,영등포구
201,(주)한미석유 제2한강주유소,서울 영등포구 선유로 260 (양평동4가),1735.0,Y,GS칼텍스,영등포구
202,선유도주유소,서울 영등포구 양평로 141 (양평동5가),1735.0,Y,S-OIL,영등포구
203,씨앤에스유통 한성주유소,서울 영등포구 여의대방로 227,1745.0,N,S-OIL,영등포구
204,SK에너지(주) 신길동주유소,서울 영등포구 영등포로 348 (신길동),1749.0,N,SK에너지,영등포구
205,국회대로주유소,서울 영등포구 국회대로 746 (여의도동),1749.0,Y,HD현대오일뱅크,영등포구
206,SK에너지(주) 양평주유소,서울 영등포구 선유로 195 (양평동3가),1759.0,Y,SK에너지,영등포구
207,SK에너지(주) 기린주유소,서울 영등포구 선유로 270,1767.0,Y,SK에너지,영등포구
208,지에스칼텍스㈜ 화일주유소,서울 영등포구 도림로 415,1854.0,Y,GS칼텍스,영등포구
209,성원이앤에스(주)영등포지점,서울 영등포구 국회대로52길 9-13 (영등포동7가),2067.0,N,GS칼텍스,영등포구
210,버드나룻길주유소,서울 영등포구 버드나루로 111 (당산동),2095.0,N,SK에너지,영등포구
211,SK KH에너지 여의도주유소,서울 영등포구 국회대로 794 (여의도동),2195.0,N,SK에너지,영등포구
212,SJ오일(주) 여의도주유소,서울 영등포구 은행로 64,2295.0,N,GS칼텍스,영등포구
213,(주)자연에너지 번동주유소,서울 강북구 한천로 963 (번동),1645.0,Y,HD현대오일뱅크,강북구
214,수유동주유소,서울 강북구 도봉로 395 (수유동),1665.0,Y,GS칼텍스,강북구
215,(주)서울에너지 시민주유소,서울 강북구 인수봉로 185 (수유동),1665.0,Y,HD현대오일뱅크,강북구
216,(주)석산에너지,서울 강북구 삼양로 316 (수유동),1665.0,Y,HD현대오일뱅크,강북구
217,㈜지에스이앤알 미아주유소,서울 강북구 도봉로 122 (미아동),1685.0,Y,GS칼텍스,강북구
218,덕릉로주유소,서울 강북구 덕릉로 158 (번동),1685.0,Y,S-OIL,강북구
219,북서울고속주유소,서울 강북구 삼양로 410 (수유동),1695.0,Y,SK에너지,강북구
220,씨앤에스유통㈜ 미아셀프주유소,서울 강북구 도봉로 200 (미아동),1695.0,Y,S-OIL,강북구
221,SK에너지(주) 매일주유소,서울 강북구 삼양로 217 (미아동),1695.0,Y,SK에너지,강북구
222,대성석유(주)신광주유소,서울 강북구 삼양로 484,1699.0,N,GS칼텍스,강북구
223,에덴주유소,서울 강북구 월계로 195 (번동),1735.0,Y,SK에너지,강북구
224,HD현대오일뱅크㈜직영 한남동주유소,서울 용산구 한남대로 204 (한남동),1937.0,N,HD현대오일뱅크,용산구
225,(주)영원 풍기주유소,서울 용산구 원효로 178 (원효로2가),2130.0,N,GS칼텍스,용산구
226,HD현대오일뱅크(주)직영 소월길주유소,서울 용산구 소월로 66 (후암동),2169.0,N,HD현대오일뱅크,용산구
227,동자동주유소,서울 용산구 한강대로104길 6 (동자동),2170.0,N,SK에너지,용산구
228,HD현대오일뱅크㈜직영 갈월동주유소,서울특별시 용산구  한강대로 322 (남영동),2170.0,N,HD현대오일뱅크,용산구
229,HD현대오일뱅크㈜직영 강변현대주유소,서울 용산구 원효로 9 (청암동),2194.0,N,HD현대오일뱅크,용산구
230,(주)신태성주유소,서울 용산구 원효로 147 (원효로3가),2198.0,N,SK에너지,용산구
231,(주)남경주유소,서울 용산구 녹사평대로11길 24,2230.0,N,SK에너지,용산구
232,에너비스,서울 용산구 한남대로 82 (한남동),2287.0,N,SK에너지,용산구
233,한남지점,서울 용산구 한남대로21길 4 (한남동),2287.0,N,SK에너지,용산구
234,한석주유소,서울 용산구 이촌로 164,2390.0,N,SK에너지,용산구
